Text,Label
"ನಾಚಿಕೆ ಇಜ್ಜಿ ಮಾರೆ ಮೋಲೆಗ್ , ಬಿಕ್ಷಿಕೆರೆಡ್ಡ ಕಡೆ ಉಲ್ಲ Eth ಪಂಡಲ",offensive untargeted
Deyibaidethi tulu full movie padle please.,not offensive
Daada karma undhu,not offensive
Ponugulena style over athundu,not offensive
ಉಂದು ದಾದಾ ಕಾಮಿಡಿ 🤦‍♂️,not offensive
​@@Dreamzkkwhere do the tukuvas bully kannadugas tell me  I ma myself a tulu speaking person and I never seen that,not tulu
ನವೀನ್ ಪಡೀಲ್ಗ್ ರಾಜ್ಯ ಪ್ರಶಸ್ತಿ ಬತ್ತಿನ ಸಿನೆಮಾ,not offensive
"ಏತ್ ನಾಯಿ.,. ಮಾರ್ರೆ....",offensive untargeted
4 Jana interview madida<br>2 Jana konkani<br>Avrige Goa ide <br>Goa na Karnataka dalli vilina madli <br>Niyatilladu <br>10% konkani iddare<br><br>Rest 3 mandili<br>One Tulu rajya para<br>Innobba nu Tulu rajya para but desa Prema irova<br>Tulu rajya kelda,not tulu
"ಗುರು, ನಾನು ಒಬ್ಬ ಕನ್ನಡಿಗನಾಗಿ ಹೇಳುತ್ತಿದ್ದೇನೆ, ಜೈ ತುಳು ಅಂತ ಕೂಡ ಬರೆಯಿರಿ 🙏🏾 ತುಳು ಹಾಗೂ ಕನ್ನಡ ಎಂದಿಗೂ ಸಹೋದರರು. <br><br>ಜೈ ಕರ್ನಾಟಕ ಜೈ ಕನ್ನಡ ಜೈ ತುಳು 🔥💛❤️",not tulu
Yobo yan full thuyiji savv marre,offensive untargeted
ಲಾಟಿಪೋಟ್ ಕೋಮಿಡಿ ಮಾರೆ.. ಕೋಮಣ ಕಾಮಿಡಿ ವೊಂಚಿ,offensive untargeted
"""nadoot aaav sound boda",not offensive
Hushar marre mett avru haikand irtr marre namd kundapra ella bhashigu maryade kodk aath marre,not offensive
You both are too pretties.,not offensive
Dada bathundu😂😂😂,not offensive
ಬಾರಿ ಶೋಕುದ ಸಾಂಗ್ 🔥🔥🔥🔥👌♥️💐,not offensive
Film yedde ijji niklna time wast malporchi,not offensive
"awesome acting manju rai n team, superb non stop comedy , wish u al the very best, god bless.",not tulu
Daye Nadut burdu saipar,offensive targeted
eeeerna jokulu Edde undu😅,not offensive
201 dislike ನಯೀದ ಮಗೆ ಹೋ,offensive targeted
Tulunadannu karunadu yennuvavaru byavarsigalu 😂,not tulu
"Wrong yaan tulunaad d putu d,tulunaad da neer pardh ,tulunaad d jeewana mappunaaye kannda da att",not offensive
Comidiy ijji dala,not offensive
"""Jyothish shetty nice actor",not tulu
Bevarsi appe baase Adu bashe alla,offensive untargeted
ER BHAYABKARA MARRE,not offensive
"Dislike ಮಲ್ತಿನಕುಲು ""ರಕ್ಕಸೆರ್"" !!",not offensive
ಪೊಣ್ಣನ ಪೂವಲ್ ತೊಜುಂಡ್ ಮಾನ ಮರ್ಯಾದೆ ದಾಂತಿನ ಪೊಣ್ಣು,not offensive
"ಕಾಮಿಡಿ ಅಪುಂಡ.....ಜಾಸ್ತಿ.....ನಾಯಿ, ನಾಯಿ ಪಂಡಿನೊಟ್ಟಿಗೆ ನಾಯಿ",offensive untargeted
Voice not good.chakka na voice,offensive targeted
ಹೇ ನಿನ್ ತುಳು ಬಾಷೆ ಹುಟ್ಟಿದೆ ಕನ್ನಡದಿಂದ...,not tulu
Vaslin atth churu yelivesha korle areg,not offensive
Tulu barandinaklanu laiderye daye,offensive targeted
Maya athand ge Umbane pukuli,offensive targeted
Nookodchi anna...bday jithesh na,not offensive
Bro slow moo masth jasthi annd,not offensive
Anna mullpa dall apujje😂😂😂😂,not offensive
Bvc Siddaramaiah malpun undu mata..udupi Mangalore toonda apuji ayag,offensive targeted
Tq anna yan epardincha katondulle niklna sin tuyare yan abhi annan fan yan,not offensive
"over acting sandeep shetty', ""dressing Sen's nt gud"", 'Riya palekar",not offensive
rcb🔥🔥🔥 santhu en pidayi padlee marre..,not offensive
Shreya ghoshal background g Sonu nigam da panka..,offensive untargeted
Udaldenchi solmelu,not offensive
arpith ejandhya layek ajjl,not offensive
ನಾನು ಕನ್ನಡಿಗ ಅಧ್ರೇ ತುಳು ಭಾಷೆಯ ಕೂಡ ನಮ್ಮದೇ. ಕನ್ನಡ ಸಂಘಟನೆ ಇದರ ಭಗೇ ಯಾವುದೇ ತಾರತಮ್ಯ ಮಾಡಬಾರದು. ಜೈ ಕರ್ನಾಟಕ ಜೈ ಭುವನೇಶ್ವರಿ ಜೈ ತುಳನಾಡು❤️💛,not tulu
Pushpagu marlu joru undaaaaaa,not offensive
Patid paddod naayileg Bewarsileg,offensive targeted
Keerthi character ❤❤❤ superb.. Tanvi ruled lots of hearts ... 😊😊,not tulu
Dewre..enk comments odudh telke tadeyuji mareetikkinda ora korle marre ayag,offensive targeted
"Mari,Tulu pitcher bevarciii",offensive untargeted
Yede undu andala nala different epodithndu,not offensive
ಕೋಮಿಡಿ ಮಾರೆ.. ವೊಂಚಿ ಲಾಟಿಪೋಟ್ ಕೋಮಣ ಕಾಮಿಡಿ,offensive untargeted
Encchi hero saavu cmdy dabba,offensive untargeted
Walter la full time actor aapera tojund 🤩,not offensive
Undala onji comedyna,not offensive
ನರ್ಕಪಲಿಕೆ 😂 ಎಂಚಿನ ಮಾರ್ರೆ,not offensive
Tojuvena nayi..... Chaa parpi leka,offensive untargeted
"Naanu saha Tulu vyakti. Namma Karnataka, namma hemme.",not tulu
Tulu beku adre modala kannada...,not offensive
av foriegnda nayilu dislike maldini😂,not offensive
Dada kure ye,not offensive
Chur confidence kammiundu,not offensive
Full movie sanniya padere,offensive targeted
Namaste mathragla yan onge tulu ta abimani,not offensive
Gk bhat bvc ninnamm ku**e,offensive untargeted
Tomato g rate jaasti atha😂😂,not offensive
ninna ammeda ken ee yerna copy nd 😅,not offensive
@@arvinthaakshanmohan1504 listen to yourself 😅. Do you think you are a problem sorter. National language a big joke 👏🏻,not tulu
But beginning d avu onji sound bodchithund,not offensive
ಇದು ಕರ್ನಾಟಕ ಅಲ್ಲ.ಭಾಷೆ ಮೇಲೆ ಹರಿದು ಹಂಚಿಕೊ ಬಿಡಿ.ಮರಾಠ ಕನ್ನಡ ತುಳು ತಮಿಳು ಅಂತ ಎಲ್ಲಾ.ಆವಾಗ ಸರಿ ಹೋಗುತ್ತೆ ಕನ್ನಡ. ಅಖಂಡ ಕರ್ನಾಟಕದಲ್ಲಿ ಕನ್ನಡವೇ ಆದ್ಯತೆ.,not tulu
"Natural acting, both are tulunadu comedy kings.,Tuluva&#39;s unique culture korida katta..and this programe is amazing..",not tulu
Maami maatra na maamu ol poyer ya ponne 😂😂,not offensive
Kai kar aadavnane acting attu... but yedde aatundu,not offensive
Next episode  photo grafer content❤️❤️,not tulu
Over acting manju,not offensive
Thank u mik to make us laugh u guys are amzaing   😆😆,not tulu
Thigaleg enjoy Ticket da kas niklena,offensive untargeted
Enchi pukulida song maare,offensive targeted
Talkis kurthela app karma..,not offensive
ನಾಯಿ ಎಂಕುಲ್ ದಾನೆ ಆಧಿಮಾನೆವೆರಾ,offensive untargeted
puraik la aren padunda bore apund,not offensive
Yobo full marre yan thuyiji savv,offensive untargeted
@@sameer9615 Ninavan Thullu Malayalam Copy Maado Thullu😅😂🤪🤪🤪🤣🤪🤪,not tulu
"ಕಿಟ್ಟ ಕಿಟ್ಟ ಕಿಟ್ಟ ಜಿಂ ಜಿಂ ಜಿಮ್ ಜಿಂ 😂😂😂😂😂😂😂😂""",not tulu
Molonji yeth patheruvolye bajepinari yeth nakkadupper moleg nidredula enchane patherol thojund,not offensive
"@@zoro4994 Get your Tulunadu region separated then. We are not dependent on you, rather you are dependent on us. U want our state to make money, but not the Kannada language, such self-centered people.",not tulu
My name is appa anappa,not tulu
​@@samarthd9948 navu kannada kalitheve neevu Tulu kalisi ..  kaddaya kannada mathra yake tuluvara mele .. kaddaya Tulu bedava kannadigara mele ... Tulu ❤ kannada haaga helbahudu. ..,not tulu
ಪ್ಯಾರಾಲಿಂಪಿಕ್ಸ್‌‌ದ ಬರ್ಚಿ ದಕ್ಕುನ ಪಂತೊಡು ಕಂಚಿದ ಪದಕೊ ಗೆಂದ್‌ದ್ ನಮ್ಮ ದೇಸೊದ ಕೊಡಿನ್ ರಾಪಾಯಿನ ಸುಂದರ್ ಸಿಂಗ್ ಗುರ್ಜರ್ ಮೆರೆಗ್ ಉಡಲ್‌ದಿಂಜಿ ಸೊಲ್ಮೆಲು. #Paralympics ,not offensive
marwin na voice chur chenge athundu bro🤣🤣,not offensive
Ynechi marre pukuli,offensive untargeted
Reviews  better than film 🤣,not tulu
ಸಮಾ... ಹೋರಾಟಗಾರರೆ ನಿಮ್ಮ ಮನೆಯಲ್ಲಿ ಮತ್ತೆ ಸ್ವಂತ ಗಾಡಿ ಯಲ್ಲಿ  ನಿಮ್ಮ ರಾಜ ನನ್ನು ಕೂತು ಕೋಳಿಸಿ ಐತ,not tulu
Sathish bandale Aravind bolar Bojaraj vamanjoor Navin padil comedy baari shokathnd super 👍🚩🚩🚩,not offensive
1 speakerd maatra kenondu vundu,not offensive
Karnatakada Rajya Bashe Kannada So Karnatakadalli Kannadave First... Neev Yav Shatappa No Keloke Soolemagne.,not tulu
Tulu movie drama du sanskara pantinane oridiji aslilatene jasti,not offensive
Wish you guys the same 🎊🎉❤❤,not tulu
A Kannada dayan depule marre savu ayana va episode t la yedde apuji,offensive untargeted
Marla nik ya,offensive untargeted
ತುಳು ನಾಡು ಕರ್ನಾಟಕ ದಿಂದ ಬೇರ್ಪಟ್ಟು ಹೊಸ ರಾಜ್ಯ ಆಗಿದ್ರೆ ಎಲ್ಲಾ ಬೆನಿಫಿಟ್ ಸ್ ಸಿಗುತ್ತೆ 🔥🔥🙏🙏ಜೈ ತುಳುನಾಡ್ 🚩🚩,not tulu
"""appe ubbiyer video malpunayena mithth. video malpunaye bewarsi g  thu, thu, rande mage.""",not offensive
Worst comedy..boreing...telikeda tenali enna favourite team...10 yeard tuvondu ulle...First time ethonji boreing aini...sorry,not offensive
Soole mage va bevasi bogulundasa tulu bhashe budpuja,offensive targeted
Full nataka padle please,not offensive
Salmann pandh ireg onji content thikndathe,not offensive
@sharudasu8695  tulu culture?  enchina paterva maraya,not offensive
"How about one video with Shraddha of 'aiyyo shraddha'?""",not tulu
"""anna raj kumarna veshana, veshag g takkavayina pathera ijjji""",not offensive
Enchina karmada best ever comedy...,not offensive
Super ajji love you ajji,not offensive
ನಾನು ಕೊಡವ ನನ್ನ ಭಾಷೆ ಕೊಡವ ಆದರೂ ಕೂಡ ನಾನು ನನ್ನ ಹೆಸರಿನ ಜಾಗದಲ್ಲಿ ಕನ್ನಡಿಗ ಅಂತ ಬರೆದಿದ್ದೇನೆ ಯಾಕೆ ಅಂತಂದರೆ ನನ್ನ ನೆಲದ ಭಾಷೆಯ ಮೇಲೆ ನನಗೆ ಅಭಿಮಾನ ಕನ್ನಡದ ಮೇಲೆ ಇರುವಂತಹ ಅಭಿಮಾನ ಹಾಗಂತ ಹೇಳಿ ನಮಗೆ ಕೊಡೋ ಭಾಷೆಯ ಮೇಲೆ ಅಭಿಮಾನ ಇಲ್ಲ ಅಂತಲ್ಲ ಇದೆ ನಾನು ಇರುವುದು ಹೊರರಾಜ್ಯದಲ್ಲಿ ಪಕ್ಕದ ಕೇರಳ ರಾಜ್ಯದಲ್ಲಿ ಈ ಹೊರ ರಾಜ್ಯದಲ್ಲಿ ಇರುವವರಿಗೆ ಚೆನ್ನಾಗಿ ಅವರ ನಾಡಿನ ಭಾಷೆಯ ಮಹತ್ವ ತಿಳಿದಿರುತ್ತದೆ ಹಾಗೆ ನಾನು ಕೂಡ ಅದೇ ಕೇರಳದಲ್ಲಿ ಇಲ್ಲಿಯೂ ಕೂಡ ಸ್ಥಳೀಯವಾಗಿ ಕೆಲವೊಂದು ಭಾಷೆಗಳನ್ನು ಮಾತನಾಡುವ ಜನರು ಇದ್ದಾರೆ ಆದರೆ ಇವರು ಹೆಚ್ಚು ಮಹತ್ವ ಕೊಡೋದು ಮಳಿಯಾಳಂ ಗೆ ಅದೇ ರೀತಿಯಲ್ಲಿ ನಮ್ಮ ನಾಡಿನ ಭಾಷೆಯಾದಂತಹ ಕನ್ನಡಕ್ಕೆ ನಾವು ಗೌರವ ಕೊಡಲೇಬೇಕು ಯಾಕೆ ಅಂತ ಅಂದ್ರೆ ನಾವು ಬರೆದಿರುವುದು ಓದಿರುವುದು ಎಲ್ಲಾನು ಕನ್ನಡದಲ್ಲಿ ಇವತ್ತು ಜೀವನ ನಡೆಸುವುದಕ್ಕೂ ನಮಗೆ ಬೆಂಗಳೂರು ಮೈಸೂರ್ ಬೇಕು ಆದರೆ ಕನ್ನಡಿಗರಲ್ಲಿ ನನ್ನದೊಂದು ವಿನಂತಿ  ಕೊಡಗಿನಲ್ಲಾಗಲಿ ಮಂಗಳೂರಿನಲ್ಲಾಗಲಿ ಎಲ್ಲರಿಗೂ ಕೂಡ ಕನ್ನಡದ ಮೇಲೆ ಅತಿಯಾದಂತ ಗೌರವವಿದೆ ನೀವು ಯಾರು ಅಲ್ಲಿನ ಹಾಡು ಭಾಷೆ ಅಥವಾ ಅವರ ಮಾತೃಭಾಷೆ ಅಂತ ಏನು ಹೇಳುತ್ತಾರೆ ಅದನ್ನು ಗೌರವಿಸಿ ಅವರು ಕೂಡ ಕನ್ನಡವನ್ನು ಗೌರವಿಸುತ್ತಾರೆ ನಿಮ್ಮ ಜೊತೆ ಕನ್ನಡದಲ್ಲಿ ವ್ಯವಹರಿಸುತ್ತಾರೆ ಮಾತನಾಡಲು ಮಾತ್ರ ತುಳು ಅಥವಾ ಕೊಡವ ಕೊಂಕಣಿ ಇತರ ಭಾಷೆಗಳನ್ನು ಬಳಸುತ್ತಾರೆ ಬಿಟ್ಟರೆ ವ್ಯವಹಾರಿಕವಾಗಿ ಬಳಸುವುದು ಕನ್ನಡ ಅದಕ್ಕೆನೇ ಇರುವಂತ ಗೌರವಗಳನ್ನು ಕಳೆದುಕೊಳ್ಳುವ ರೀತಿಯಲ್ಲಿ ಆಗಬಾರದು ಅಂತ ಅಂದರೆ ಎಲ್ಲ ಭಾಷೆಗಳನ್ನು ಅಂದರೆ ಪಕ್ಕದ ರಾಜ್ಯದ ಭಾಷೆಗಳನ್ನೆಲ್ಲ ನಮ್ಮ ನಾಡಿನ ಸ್ಥಳೀಯ ಹಾಡು ಭಾಷೆಗಳನ್ನು ಕೂಡ ನಮ್ಮ ಕನ್ನಡಿಗರು ಸಮಾನವಾಗಿ ಗೌರವ ಕೊಟ್ಟರೆ ಈತರಾದ ಒಂದು ಘಟನೆಗಳು ಸಂಭವಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ ಜೈ ಕರುನಾಡು ❤,not tulu
"""shut up marla😂😂😂",offensive untargeted
"@@kirankumar5092 Adhu Karnataka Da Karavali, Nemaapinge Huttidre, Nimman Thullage Huttidre, Karnataka Ache Hogi Ninna Thullu Naadu Nodko, Neen Yaava Bolappa Antha Thullu Naadu Anthiya, Namma Karavali Yalli Naavu Thullunaadu Ella Andre, Raajya Drohi, Case Haaki Holgade Rubbidre, Nimman Thullage Thullunaadu Aagutte... Karnataka Bitti Biddilla Ninna Thullunadu Anoke, Savirraru Varshagala Shrama Ede, E Naadu Kattoke... Nimman Thullage Maadko Ninna Thullnaadu Na, Namma Karnataka Da Karavali Yalli Alla... Ninnavan Thullu... 🤪🤪🤪🤪🤪🤪🤪🤪🤪",not tulu
Enchineya undhuuuu devarene eth vanas manpuval marrey yank thoothe bnji full aand😂😂,not offensive
"E bvc gk bhatta, nik kannada bodanda kannadadaklen pinkan dekkula bangalore podu...",offensive targeted
pukuli mathlap pichouda or mayak means gayab,not offensive
"Ho deverey musunttu thuley,thu moklena jalmok",not offensive
ಕನ್ನಡ ಮತ್ತು ತುಳು ನಮ್ಮ ಎರಡು ಕಣ್ಣುಗಳು ಇದ್ದಂತೆ. ಆದರೆ ನಾಮ ಫಲಕ ಆಂಗ್ಲ ಭಾಷೆಯಲ್ಲಿ ಯಾಕೆ?. ಕನ್ನಡಕ್ಕೇ ಪ್ರಥಮ ಆಧ್ಯತೆ ನೀಡಬೇಕು. ಆದರೆ ಕನ್ನಡ V/s ತುಳು ಅನ್ನುವ ನಿಮ್ಮ ತಲೆಬರಹ ಸರಿಯಲ್ಲ.,not tulu
ಎಂಕುಲ್ ನಾಯಿ ದಾನೆ ಆಧಿಮಾನೆವೆರಾ,offensive untargeted
Pro koridha katta  super ye,not offensive
Pls make Kim Jon trool,not tulu
Those are kerala buses.who gives authority to change them,not tulu
Enchi karmada comedy double meaning malpande teliparegu aapuja,not offensive
kodava konkani and tulu....... all separate....??? what a shame...?? north karnataka??? south karnataka???,not tulu
🚩Jai Tulunad🚩 i want tulunad state,not tulu
But girl makeup over athnd..not good,not offensive
Daya malth Tulu tha maryadi depporchi..,not offensive
"Pongu pongu entha pongu onji thengu mara na kondheyelle,,,,,😢😂😂😂😂😂",not offensive
santhu g ongi torpule...🤣🤣,not offensive
ಅಲ್ಲಿ ಇರೋದು ಕನ್ನಡ ಮತ್ತು ಇಂಗ್ಲೀಷ್ ಇವಕ್ಕೆ ಕಣ್ಣು ಇಲ್ವಾ ಕಲೆಕ್ಷನ್ ಕಮ್ಮಿ ಆಗಿರ್ಬೋಕು ಅದಕ್ಕೆ ಬಂದಿದ್ದು ಎಲ್ಲಿ ಆದ್ರೂ ತುಳು ಅಲ್ಲಿ ಬರೆದಿಲ್ಲ.,not tulu
Aaye yencha urchuve mare,not offensive
"""Bhagavatige, maata artist nakul superb 👌👌👍👍comedy 😍👌👌""",not offensive
Bujanga na uroo thiknda,not offensive
Yera Naigu Comdy Panda Dada Gotuji Dislike Malde 3money Daye ...,not offensive
Tv5  ಕನ್ನಡ ನಿವು ಸರಿಯಾದ ಕೆಲಸ ಯಾವುದೇ ಕಾರಣಕ್ಕೂ ಸಂವಿಧಾನ ಒಕ್ಕೂಟದ ಒಪ್ಪುವುದಿಲ್ಲ ನಾವು ಕುಡ ಗಡಿ ಪಾರು ಮಾಡುವ ಕೆಲಸ ಕಾನೂನು ಕ್ರಮ ಕನ್ನಡ ವೇ ಅಂತಿಮವಾಗಿ ಕನ್ನಡಿಗರು ಎಚ್ಚರಿಕೆ ಎಚ್ಚರಿಕೆ ಎಚ್ಚರಿಕೆ ಎಚ್ಚರಿಕೆ ರಾಜ್ಯ ಸರ್ಕಾರ ಗಮನಹರಿಸಬೇಕು ಕನ್ನಡ ಜನ ರು ಮಂಗಳೂರು ತುಳು ಒಂದು ಹಾಡು ಬಾಷೆ,not tulu
29 minutes 35 seconds masth kammi andh 😔 atleast 1 ghante bodith nd,not offensive
Next episode carpenter bolar  please,not tulu
Heege bitrre maneyallu kannadane mathadbeku helthane eee gulama .. dudilikkr haagalla kannada imposition madtha Karnataka govt hana olage hakodu aste ... Kannada herike maduvavaru Tulunadige avasyakate illa ..  kannada raja anthe namge raja beda namma Amma Tulu beku aste,not tulu
ಪನ್ಪಿನಾತ್ ಎಡ್ಡೆ ಆತಜೀಡ್ಲಾ ...ಓಕೆ.,not offensive
"Good episode,but it&#39;s becoming more like documentary...",not tulu
Randemage yer parabbe aye,offensive targeted
@@vijithkumar2398 ninnammag pan,not offensive
paapada aanu vikasg ancha maryadi deppochhi ponne..... paapa.... 😄😄,not offensive
nekalna yenchi sav da ads mara,not offensive
Manglre frst tulu nxst kannada  jai tulunad❤,not offensive
Dala edde atji,not offensive
last dilog borchitthnd,not offensive
Baari shokuda padha...,not offensive
Dada comedy sav da,offensive untargeted
Nina saueda comedy,offensive untargeted
Kai kar polth kadapale yena punk ye nama olpa ulla?,offensive untargeted
ಕಂಕನಾಡಿಯ  ಫಾದರ್ ಮುಲ್ಲರ್ ಆಸ್ಪತ್ರೆ ಯಲ್ಲೆಲ್ಲ ಮಲಯಾಳಂ ಬೋರ್ಡುಗಳಿವೆಯಲ್ಲ ಅದನ್ನು ತೆಗೆಸುವವರು ಯಾರು?,not tulu
Olu birkdhena karmadhaaye.,offensive targeted
ಡ ಬಲ್ಲಿಯಪ್ಪಾ ಈ ನಾಯಿ,offensive untargeted
Binner baidina gowjid song 😊😊,not offensive
Naitha magane nee,offensive targeted
"Radd geet kasturi sabunu korle panpunaleg balane ijji, urchare batthileka panpol",not offensive
Bevarcy Maddy ninna Amma tullu film,offensive targeted
Da anchor over acting Saave,offensive targeted
Baru amasara borchi🤣🤣🤣,not offensive
ate careless aapuna aaypukuli la lost aante,offensive targeted
😂 Baaid batanda BVC,offensive untargeted
Police nakleg support malpuna programme malpodchi,not offensive
Yedde cover-up malpuva ninna mistake nn!!!,not offensive
"@@gauthamkshatriya2953 kundapura people let&#39;s they decide we won&#39;t force and udupi will be in the Tulu state, not everyone going to Bangalore for job and ofcouse few tulunadians working there as well as kannadigas working in Tulunad that because your government only reason for that. If you have no problem with malayalies we actually speak Kannada there think about future like what you said, if you block our people we will definitely block your people then we people will get that job and you only told right I am sitting in Mumbai so you got it not only Bangalore we can earn okay. Think correctly before replaying me.<br>Now we are a lot amount of tax payers to the Karnataka state, so be quiet.",not tulu
bale telipale dala ijji,not offensive
""" @MadInKudla  thank u for reply",not tulu
yenchi trol ye 😂😂😂spr trol ye 😂😂,not offensive
dala yedde ijjiye,not offensive
Rakshitha baaari shoku apundu eeerna videos,not offensive
​@@ndochamp9872kannada ninna gattadavru toilet clean madoke bartharalla avru mathadodu lowde,not tulu
Anna tulu padlye kannada dayge,not offensive
Kannada bengalurd maatra.. tulubashe appe  bashe,not offensive
Bakwas.....ow movie la realitig kaital ijji !!,offensive untargeted
ನಿಮ್ಮ ಅಮ್ಮನ ತುಲ್ punk 😢😅,offensive untargeted
Olu tikundu marre ereg indu mata,not offensive
Yenchina saav mbyaaa,not offensive
Jasthi kure kattare balli     jasthi parodu......daye panda...... boka panpe ...,not offensive
"Namma TV,  Dayega eer Tulu t patherujar?",not offensive
People dont understand that everone wants to divide Karnataka and rule....Some or other day  tulu people will understand this conspiracy....Tulunadu will definitely suffer by the influence of other states....,not tulu
ಡಿಫೆ ಇತ್ತೇ ಮರ್ಳೆದಿ 😂😂😂,not offensive
​@@MithuShibhu ninna appe pootin Potla,offensive targeted
"​@@user-frgggghgfddgberi naadu😂 oo marla pakistala po, nikleg ashraya korthine malla kuda niklna nadu kunne",not offensive
Keerthik g&#39;goskara serial tupini <br>Lakshmi&#39; rd thanvi ye ista  smile porlu❤,not offensive
Galij. Comedy. Worst,not offensive
Naayileg patid paddod Bewarsileg,offensive targeted
"Jai Karnataka,   ask your forefathers for negligence and not fought for your language.  Blood will flow like water whoever comes against our language.  First do you know Tulu script? 😂😂😂😂",not tulu
"Lungi costume superb, bolar meese👌😀",not offensive
Broh sumne history gothilade mathadbeda Come to manglore nan ninnanu kola nemakke karkond hogthini alli daivada pardhana kelu.....,not offensive
"Tulu Lipi Ella, Tiglari Lipiyannu Tulu Anthidare, Adhu Kooda Mukkalu Paalu Malayalam Aksharagalu...",not tulu
Next song.. P*thel maya?,offensive untargeted
Erna comment n akulu  thooper pandh aand,not offensive
BVC Baaid batanda 😂,offensive untargeted
bore manthonduler namma tv dakulu.,not offensive
Wa marl mare,offensive targeted
Walter Sir perade na🤣🤣🤣,not offensive
"baakidagul just untudini not a good act its average act.""",not offensive
rt @taulavaspeaks: ನಮನ ಅವಸ್ತೆ!!!🤦‍♂️ #tulu #tulunad #dubbingintulu #filmindustry ,not offensive
Radhe tooyenda bll detonve,not offensive
"""ninna ninna karma ... 🤦‍♂️",offensive untargeted
"""Looks like judges decided they will not laugh...",not tulu
Papa made bolar,not tulu
ಥರ್ಡ್ ಕ್ಲಾಸ್ ಕಾಮಿಡಿ,not offensive
Online class masth yedde etthund neddu,not offensive
Thullu... Nimman,offensive untargeted
Reserving wishes to new cabinet till Tulu see's fruitfulness!  ತುಳುಕೊಂತೆ ಎಡ್ಡೆ ಬೇಲೆ ಆನಮುಟ್ಟ ಪೊಸ ಕ್ಯಾಬಿನೆಟ್ ಗ್ ಕೊರ್ಪಿನ ಎಡ್ಡೆಪ್ಪುಲೆನ್ ಅಟ್ಟೊಡು ಕಟ್ಟ್ ದ್ ದೀಕ! #ಎಡ್ಡೆ_ಆಯಿಬೊಕ್ಕ_ಎಡ್ಡೆಪ್ಪು #CabinetReshuffle2021 ,not offensive
Walter sir love you sir.. Super<br>.. Nys to see you...,not tulu
Kannada dubb madi,not tulu
Ninna Amma kunne bethe state bvc. @@user-frgggghgfddg First ninan mulpardh Pakistan gidapod nattunaya.,offensive targeted
waste of time..onji yadde movie manpule plss..tulu movie improve manpule..,not offensive
Making yer mare maldini....deverna pura mariyadi deppun nikalnanchinakule,not offensive
Galate apuna andhaj undu,not offensive
ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಸರ್,not tulu
Nerdh aa  americadaye yedde tulu patherrve,not offensive
kerala buses come in and go we cant tell anything,not tulu
Nekk yer dislike mathini 😡😡😡😡super Comedy 😎😎😎,not offensive
ದಾದದೆ ಕುದುರೆ ಇ ದಿಗಿಣ ದೀಪಿನಿ...🙄❤,not offensive
Marre.... saavu Dada,offensive untargeted
​@@kkKkK.KK87we are happy for you. That&#39;s what we want. Forcing kannada to tuluvas should also stop,not tulu
Keraladaye kannadikarana malpvege bvc kudlag bathnd,offensive untargeted
ಏತೊಂಜಿ ಅರ್ಥ ಗರ್ಭಿತ ಪದ wow super 👌👌👌 🙏🙏🙏,not offensive
Leera the soulmate review plz,not tulu
enchi saaav maare 😂 😂,offensive untargeted
"Bajee bappar galeeji paterd comedy daye malpuvar?', ""Don't like comedy.."", 'Kilikili. Multhunda telike",not offensive
So what? Dada andala problem la ereg!!.nama language d lyrics kenuni feel he bethe❤️,not offensive
"Kannada abhimana ullavaru …mobile phones use madbedi ..yakandare english nalli brand hesaru baredide😂😂😂😂 iphone, samsung, viva , micromax etc etc😂😂😂",not tulu
yenchi savda pukuli marre,offensive targeted
Super yae super,not tulu
9 months andu uploaded malpove pandu Nana yapa malpuvar,not offensive
"Lo loudeke bal alli na place na culture and language ge respect kodadh kalthiko , manglore ge alla helokebaradu ,nivella kannada para sangatane galu appange uttidre Bengaluru alli kannada mandatory madso matte manglore ge banni and i respect every language kannada, Hindi or any other❤",not tulu
The maya pukuli is best to u,not tulu
"@@SlowedWorld-ue6vx Mettagond Hoditare Ninnavan Thullu, Kasaragod Nalli, Kannada School Galu Edhe, Basha Alpasakyatharu Antha Nimge Bittirodakke Take For Granted Antiya, Ninna Thullu Malayalam Copy, Paste Antha Avrige Gottide, Karnataka Bittu Aache Hogi Ninna Thullu Naadu Annu, Ninna Thullu, Ninna Toldu Jaggi Pudi Pudi Maadtare... Ninnavan Thulluge Naayi Thunni Yetta...",not tulu
Bhashe sulemagne Nin ammn tullu,offensive untargeted
Tulunad state beku.namma baasege ee Karnataka rajya dhinda enu upayoga aagle illa .pancha dravida baasegalalli elladakku rajyavagidhe,not tulu
anna  every 2 week g new content  padva pandu 199  getondar..,not offensive
@@sankethbhandary3671  there&#39;s no need to be a sister for ur tullu dying language byavarshi bolimagane 😂,not tulu
"ಪ್ರಸಿದ್ದಿ ಪರ್ಕಳ..ಪೂರ script ಡು ಓಂಜಾಂಡಲಾ ಎಡ್ಡೆ ಪಂಚ್ ಆವಡ್,ಆಕ್ಟಿಂಗ್ ಆವಡ್ ಇತ್ತಂಡಾ ?",not offensive
Yoge baba addh laayke athnde😂😂😂,not offensive
Punk ye nama olpa ulla? Yena kai kar polth kadapale,offensive untargeted
"""Really enjoyed the vlog. Namaskara 🙏",not offensive
